"code";"decimal";"iso3611";"libelle"
"GNF";"0";"324";"Franc Guineen"
"ZAR";"2";"324";"Rand Sud Africain"
"YER";"0";"886";"Riyal Du Yemen"
"XOF";"0";"952";"Franc Cfa Ouest Africain"
"XER";"2";"954";"Unite Coperation Europe"
"XAF";"0";"950";"Communaute Financiere Africaine Beac Francs"
"USD";"2";"840";"Dollar Des Usa"
"TND";"3";"788";"Dinar Tunisien"
"STN";"0";"000";"Dobra Sao Tome"
"STD";"2";"678";"Dobra Sao Tome"
"SNP";"2";"220";"Livre Ecossaise"
"SGD";"3";"702";"Dollar Singapour"
"SEK";"2";"752";"Couronne Suedoise"
"SAR";"2";"682";"Ryal Saoudien"
"QAR";"3";"634";"Ryal Qatari"
"PTE";"0";"620";"Escudo Portugais"
"NOK";"2";"578";"Couronne Norvegienne"
"NLG";"2";"528";"Florin Hollandais"
"MUR";"3";"480";"Rupee Mauritanien"
"LTP";"2";"470";"Livre Maltaise"
"MRO";"2";"478";"Ouguya Mauritanienne"
"MGA";"0";"450";"Ariary Malgache"
"MAD";"2";"504";"Dirham Marocain"
"LYD";"3";"434";"Dinar Lybien"
"LUF";"0";"442";"Franc Luxembourgeois"
"KWD";"3";"414";"Dinar Koweitien"
"JPY";"0";"392";"Yen Japonais"
"ITL";"0";"380";"Lire Italienne"
"IEP";"2";"372";"Livre Irlande Du Nord"
"GRD";"0";"300";"Drachme Grecque"
"GBP";"2";"826";"Livre Sterling"
"FRF";"2";"250";"Franc Francais"
"FIM";"2";"246";"Mark Finlandais"
"EUR";"2";"978";"EURO"
"ESP";"0";"724";"Pesetas Espagnol"
"DZD";"2";"012";"Dinar Algerien"
"DKK";"2";"208";"Couronne Danoise"
"DEM";"2";"280";"Deutsche Mark"
"CNY";"2";"156";"Yuan Chinois Renminbi"
"CHF";"2";"756";"Franc Suisse"
"CDF";"0";"976";"Franc Congolais (Rdc)"
"CAD";"2";"124";"Dollar Canadien"
"BRL";"2";"986";"Real Bresilien"
"BHD";"2";"048";"Bahraini Dinar"
"BEL";"0";"992";"Franc Belge Financier"
"BEF";"0";"993";"Franc Belge"
"BEC";"0";"230";"Bec"
"AUD";"0";"320";"Dollar Australien"
"ATS";"2";"040";"Schilling Autrichien"
"AOA";"2";"973";"Kwanza Angolais"
"AED";"2";"784";"Dirham Des E.A.U"
